studyId	studyType	analysisFlag	qualityControl	isCurated
GCST90241317	pQTL			TRUE
GCST90241489	pQTL			TRUE
GCST90241498	pQTL			TRUE
GCST90243027	pQTL			TRUE
GCST90241320	pQTL			TRUE
GCST90241522	pQTL			TRUE
GCST90243189	pQTL			TRUE
GCST90242987	pQTL			TRUE
GCST90243026	pQTL			TRUE
GCST90242863	pQTL			TRUE
GCST90243181	pQTL			TRUE
GCST90243052	pQTL			TRUE
GCST90243035	pQTL			TRUE
GCST90241712	pQTL			TRUE
GCST90242925	pQTL			TRUE
GCST90241507	pQTL			TRUE
GCST90241318	pQTL			TRUE
GCST90241695	pQTL			TRUE
GCST90243204	pQTL			TRUE
GCST90241512	pQTL			TRUE
GCST90242860	pQTL			TRUE
GCST90243032	pQTL			TRUE
GCST90241325	pQTL			TRUE
GCST90242993	pQTL			TRUE
GCST90243046	pQTL			TRUE
GCST90243011	pQTL			TRUE
GCST90241326	pQTL			TRUE
GCST90241332	pQTL			TRUE
GCST90243033	pQTL			TRUE
GCST90243037	pQTL			TRUE
GCST90243180	pQTL			TRUE
GCST90243225	pQTL			TRUE
GCST90242984	pQTL			TRUE
GCST90242964	pQTL			TRUE
GCST90243034	pQTL			TRUE
GCST90242854	pQTL			TRUE
GCST90243185	pQTL			TRUE
GCST90241693	pQTL			TRUE
GCST90243062	pQTL			TRUE
GCST90243030	pQTL			TRUE
GCST90241517	pQTL			TRUE
GCST90241524	pQTL			TRUE
GCST90242858	pQTL			TRUE
GCST90241315	pQTL			TRUE
GCST90243203	pQTL			TRUE
GCST90241360	pQTL			TRUE
GCST90241707	pQTL			TRUE
GCST90242972	pQTL			TRUE
GCST90243012	pQTL			TRUE
GCST90243028	pQTL			TRUE
GCST90241362	pQTL			TRUE
GCST90242939	pQTL			TRUE
GCST90243061	pQTL			TRUE
GCST90243194	pQTL			TRUE
GCST90242981	pQTL			TRUE
GCST90243055	pQTL			TRUE
GCST90243219	pQTL			TRUE
GCST90243184	pQTL			TRUE
GCST90243186	pQTL			TRUE
GCST90242986	pQTL			TRUE
GCST90241324	pQTL			TRUE
GCST90243215	pQTL			TRUE
GCST90241322	pQTL			TRUE
GCST90243047	pQTL			TRUE
GCST90241520	pQTL			TRUE
GCST90241492	pQTL			TRUE
GCST90241314	pQTL			TRUE
GCST90243199	pQTL			TRUE
GCST90243218	pQTL			TRUE
GCST90243049	pQTL			TRUE
GCST90241321	pQTL			TRUE
GCST90241343	pQTL			TRUE
GCST90242991	pQTL			TRUE
GCST90242867	pQTL			TRUE
GCST90241487	pQTL			TRUE
GCST90241337	pQTL			TRUE
GCST90241518	pQTL			TRUE
GCST90241529	pQTL			TRUE
GCST90243021	pQTL			TRUE
GCST90243059	pQTL			TRUE
GCST90242872	pQTL			TRUE
GCST90243223	pQTL			TRUE
GCST90242971	pQTL			TRUE
GCST90242998	pQTL			TRUE
GCST90241504	pQTL			TRUE
GCST90242868	pQTL			TRUE
GCST90243196	pQTL			TRUE
GCST90243050	pQTL			TRUE
GCST90242851	pQTL			TRUE
GCST90242864	pQTL			TRUE
GCST90243016	pQTL			TRUE
GCST90241508	pQTL			TRUE
GCST90242859	pQTL			TRUE
GCST90242983	pQTL			TRUE
GCST90242938	pQTL			TRUE
GCST90241690	pQTL			TRUE
GCST90241329	pQTL			TRUE
GCST90243058	pQTL			TRUE
GCST90242989	pQTL			TRUE
GCST90243188	pQTL			TRUE
GCST90243195	pQTL			TRUE
GCST90243057	pQTL			TRUE
GCST90243014	pQTL			TRUE
GCST90243053	pQTL			TRUE
GCST90242865	pQTL			TRUE
GCST90241488	pQTL			TRUE
GCST90242862	pQTL			TRUE
GCST90243200	pQTL			TRUE
GCST90241486	pQTL			TRUE
GCST90242973	pQTL			TRUE
GCST90243031	pQTL			TRUE
GCST90243224	pQTL			TRUE
GCST90241491	pQTL			TRUE
GCST90243191	pQTL			TRUE
GCST90241481	pQTL			TRUE
GCST90243213	pQTL			TRUE
GCST90241501	pQTL			TRUE
GCST90241505	pQTL			TRUE
GCST90241708	pQTL			TRUE
GCST90242962	pQTL			TRUE
GCST90242966	pQTL			TRUE
GCST90242861	pQTL			TRUE
GCST90243022	pQTL			TRUE
GCST90242870	pQTL			TRUE
GCST90241696	pQTL			TRUE
GCST90241700	pQTL			TRUE
GCST90242997	pQTL			TRUE
GCST90242866	pQTL			TRUE
GCST90242996	pQTL			TRUE
GCST90243209	pQTL			TRUE
GCST90243023	pQTL			TRUE
GCST90243187	pQTL			TRUE
GCST90243005	pQTL			TRUE
GCST90243228	pQTL			TRUE
GCST90242849	pQTL			TRUE
GCST90243013	pQTL			TRUE
GCST90242852	pQTL			TRUE
GCST90242869	pQTL			TRUE
GCST90241347	pQTL			TRUE
GCST90243029	pQTL			TRUE
GCST90242853	pQTL			TRUE
GCST90243008	pQTL			TRUE
GCST90241526	pQTL			TRUE
GCST90243193	pQTL			TRUE
GCST90241705	pQTL			TRUE
GCST90241495	pQTL			TRUE
GCST90241496	pQTL			TRUE
GCST90243025	pQTL			TRUE
GCST90243000	pQTL			TRUE
GCST90243226	pQTL			TRUE
GCST90241490	pQTL			TRUE
GCST90243024	pQTL			TRUE
GCST90243038	pQTL			TRUE
GCST90241323	pQTL			TRUE
GCST90243192	pQTL			TRUE
GCST90241484	pQTL			TRUE
GCST90242927	pQTL			TRUE
GCST90243205	pQTL			TRUE
GCST90241358	pQTL			TRUE
GCST90241502	pQTL			TRUE
GCST90242969	pQTL			TRUE
GCST90242988	pQTL			TRUE
GCST90243051	pQTL			TRUE
